# Kova 指标校准样本库 — 每行=一张带标签的截图。date=直播/截图日(数据截至该日)。
# score: 整数/NaN(数据不足或被遮挡)。health: HEALTHY/WATCH/UNHEALTHY。reduce: REDUCE/Hold/-(WATCH与UNHEALTHY显示—)。
# panel_price: 面板盘中价(空=用结算收盘回退)。star:1=⭐。vol_color:末根六色量柱(视觉)。momentum:动能震荡器形态(视觉)。screenshot:原图路径。
# 参数发现(05/18截图): Kova动能积累参数=9,21(非猜的10/30); Kova Essentials=10E/20E/50S/200S+50均量。DDOG周线另算不混入。
date,ticker,score,health,reduce,panel_price,star,note,vol_color,momentum,screenshot
2026-06-10,OSCR,99,HEALTHY,Hold,27.85,0,批4-截图Hold@2.65ATR(<3.0阈值);用户口述某刻REDUCE是另一更冲顶时刻,,,kova_screenshots/2026-06-10/OSCR.webp
2026-06-10,CRDO,99,HEALTHY,Hold,254.27,1,批2/3-满分贴高完美stack,,,kova_screenshots/2026-06-10/CRDO.webp
2026-06-10,DOCN,96,HEALTHY,Hold,174.57,0,批5,,,kova_screenshots/2026-06-10/DOCN.webp
2026-06-10,BAND,96,HEALTHY,Hold,65.49,0,批3-破10E仍HEALTHY铁证,,,kova_screenshots/2026-06-10/BAND.webp
2026-06-10,BB,95,HEALTHY,Hold,9.29,0,批4,,,kova_screenshots/2026-06-10/BB.webp
2026-06-10,ALAB,94,HEALTHY,Hold,,0,批1-RS+64,,,kova_screenshots/2026-06-10/ALAB.webp
2026-06-10,SPMO,94,HEALTHY,Hold,147.77,0,批6-破10E仍HEALTHY,,,kova_screenshots/2026-06-10/SPMO.webp
2026-06-10,SNDK,93,HEALTHY,Hold,,0,批2-股强但用户成本套牢,,,kova_screenshots/2026-06-10/SNDK.webp
2026-06-10,MU,93,HEALTHY,Hold,,0,批2,,,kova_screenshots/2026-06-10/MU.webp
2026-06-10,NBIS,93,HEALTHY,Hold,228.51,0,批4-破10E仍HEALTHY铁证,,,kova_screenshots/2026-06-10/NBIS.webp
2026-06-10,AMD,92,UNHEALTHY,-,468.77,0,批3-高分却UNHEALTHY(破20E),,,kova_screenshots/2026-06-10/AMD.webp
2026-06-10,DELL,92,HEALTHY,Hold,398.53,0,批5-面板盲区案例(跌14%还Hold),,,kova_screenshots/2026-06-10/DELL.webp
2026-06-10,OUST,92,HEALTHY,Hold,40.10,0,批6-破10E仍HEALTHY,,,kova_screenshots/2026-06-10/OUST.webp
2026-06-10,QQQ,89,UNHEALTHY,-,,0,批1-大盘破20E,,,kova_screenshots/2026-06-10/QQQ.webp
2026-06-10,NOK,89,UNHEALTHY,-,13.79,0,批5-用户持仓真破位(破10E trail),,,kova_screenshots/2026-06-10/NOK.webp
2026-06-10,RKLB,84,UNHEALTHY,-,108.08,0,批6,,,kova_screenshots/2026-06-10/RKLB.webp
2026-06-10,AAOI,81,HEALTHY,Hold,182.00,0,批5,,,kova_screenshots/2026-06-10/AAOI.webp
2026-06-10,AXTI,80,UNHEALTHY,-,88.41,0,批4,,,kova_screenshots/2026-06-10/AXTI.webp
2026-06-10,BE,79,UNHEALTHY,-,252.09,0,批3/6-10E已跌破20E(stack翻转),,,kova_screenshots/2026-06-10/BE.webp
2026-06-10,MXL,75,UNHEALTHY,-,,0,批1-RS-20,,,kova_screenshots/2026-06-10/MXL.webp
2026-06-10,CIEN,75,UNHEALTHY,-,444.22,0,批4,,,kova_screenshots/2026-06-10/CIEN.webp
2026-06-10,IREN,38,UNHEALTHY,-,55.08,0,批3-中间分、震荡远离高,,,kova_screenshots/2026-06-10/IREN.webp
2026-06-10,DKNG,17,UNHEALTHY,-,,0,批2-200S门槛铁证1(站上10/20/50破200S),,,kova_screenshots/2026-06-10/DKNG.webp
2026-06-10,HOOD,16,UNHEALTHY,-,90.37,0,批4-200S门槛铁证2,,,kova_screenshots/2026-06-10/HOOD.webp
2026-06-10,HIMS,,UNHEALTHY,-,29.52,0,批6-200S门槛铁证3(分被工具栏遮挡),,,kova_screenshots/2026-06-10/HIMS.webp
2026-06-10,SQQQ,3,UNHEALTHY,-,,0,批1-反向ETF破50/200S,,,kova_screenshots/2026-06-10/SQQQ.webp
2026-06-10,CBRS,,UNHEALTHY,-,,0,批2-仅19根bar算不出200SMA→Score=NaN,,,kova_screenshots/2026-06-05/CBRS.webp
2026-06-05,ARM,97,HEALTHY,Hold,359.98,0,06/05半导体回调-跌8.5%仍HEALTHY,亮紫缩量,蓝在场,kova_screenshots/2026-06-05/ARM.webp
2026-06-05,MU,96,HEALTHY,Hold,929.34,0,06/05-跌6.7%仍HEALTHY厚垫,亮紫缩量,蓝在场,kova_screenshots/2026-06-05/MU.webp
2026-06-05,QQQ,95,WATCH,-,726.26,0,★首个WATCH橙-破10E贴20E+放量派发,中红放量2.37,蓝转弱,kova_screenshots/2026-06-05/QQQ.webp
2026-06-05,SPY,99,HEALTHY,Hold,749.98,0,06/05-站10E贴高,中红放量1.92,蓝转弱,kova_screenshots/2026-06-05/SPY.webp
2026-06-05,SNDK,96,HEALTHY,Hold,1634.91,0,06/05-破10E但厚垫缩量回调,亮紫缩量,蓝在场,kova_screenshots/2026-06-05/SNDK.webp
2026-06-05,MRVL,98,HEALTHY,Hold,295.06,0,06/05-抛物线上冲后回-6.75%仍远在均线上,中红放量,亮蓝在场,kova_screenshots/2026-06-05/MRVL.webp
2026-06-05,HYLN,99,HEALTHY,Hold,7.93,1,06/05-小盘火箭2→8⭐,中绿放量,亮蓝在场,kova_screenshots/2026-06-05/HYLN.webp
2026-06-05,GOOG,75,UNHEALTHY,-,366.78,0,"06/05-用户持仓,见顶回落破10/20E",中绿,蓝转弱,kova_screenshots/2026-06-05/GOOG.webp
2026-06-04,MRVL,98,HEALTHY,REDUCE,286.09,0,★真REDUCE正样本-dev21=3.13ATR冲顶(锚死阈值),亮蓝满红climax,亮蓝在场,kova_screenshots/2026-06-04/MRVL.webp
2026-06-04,SNDK,99,HEALTHY,Hold,1775.06,0,SNDK时间序列99(06/04)→96(06/05)→93(06/10),亮紫缩量,亮蓝在场,kova_screenshots/2026-06-04/SNDK.webp
2026-06-04,STRL,99,HEALTHY,Hold,944.26,0,dev21=2.49仍Hold(<3.0),中绿,亮蓝在场,kova_screenshots/2026-06-04/STRL.webp
2026-06-04,AMD,98,HEALTHY,Hold,508.50,0,AMD时间序列98(06/04)→92UNHEALTHY(06/10),亮紫缩量,亮蓝在场,kova_screenshots/2026-06-04/AMD.webp
2026-06-04,ARM,98,HEALTHY,Hold,375.50,0,ARM 98(06/04)→97(06/05),亮紫缩量,亮蓝在场,kova_screenshots/2026-06-04/ARM.webp
2026-06-04,ALAB,98,HEALTHY,Hold,344.87,0,ALAB 98(06/04)→94(06/10),亮紫缩量,亮蓝在场,kova_screenshots/2026-06-04/ALAB.webp
2026-06-04,CLS,91,HEALTHY,Hold,405.53,0,新票-跌11%但厚垫(距高-14%)仍HEALTHY非WATCH,亮紫缩量,亮蓝在场,kova_screenshots/2026-06-04/CLS.webp
2026-06-04,MXL,82,HEALTHY,Hold,93.33,0,MXL 82HEALTHY(06/04)→75UNHEALTHY(06/10),亮紫缩量,蓝,kova_screenshots/2026-06-04/MXL.webp
2026-06-04,AVGO,76,UNHEALTHY,-,405.55,0,财报-15%崩盘破20E;满红派发量比3.1,满红放量3.1,蓝转弱,kova_screenshots/2026-06-04/AVGO.webp
2026-06-04,OSCR,45,HEALTHY,Hold,23.18,0,★罕见低分HEALTHY-底部回升;45→99(06/10)疑真RS百分位,亮紫缩量,蓝转正,kova_screenshots/2026-06-04/OSCR.webp
2026-06-04,NVTS,93,HEALTHY,Hold,28.46,0,06/04-动能放量回升;站全部均线,亮蓝放量,亮蓝在场,kova_screenshots/2026-06-04/NVTS.webp
