file,is_kova,ticker,read_date,score,health,reduce,star,panel_price,vol_color,momentum,watch_signal,extreme_vol,note
image-1781165642542.webp,True,AVGO,2026-06-04,76,UNHEALTHY,无,1,405.55,亮红,亮蓝,True,True,UNHEALTHY红色预警，高位贴近高点+明显放量派发，动能蓝柱突出
image-1781165645039.webp,True,ALAB,2026-06-11,98,HEALTHY,Hold,0,344.87,浅紫,浅蓝,False,True,ALAB处于强势HEALTHY状态，Score 98.5，Panel价格344.87USD。最右K线浅紫成交柱，底部动能浅蓝。5月中旬有明显巨量放量信号。
image-1781165647709.webp,True,MRVL,2026-06-04,58,HEALTHY,REDUCE,0,286.09,亮红,中蓝,False,False,MRVL日线图，Score 58 HEALTHY但有REDUCE信号，最右成交柱亮红+中蓝动能，无明显放量或顶部预警
image-1781165650324.webp,True,OSCR,2026-06-12,45,HEALTHY,Hold,0,23.18,亮紫,浅蓝,False,False,绿底Hold健康度，中等Kova评分45，无预警信号
image-1781165652758.webp,True,STRL,2026-06-17,99,HEALTHY,无,1,944.26,亮蓝,亮蓝,False,False,"STRL HEALTHY绿色面板, Score 99高分, 价格944.26, 强势上升中"
image-1781165655341.webp,True,AMD,,-1,UNHEALTHY,无,0,-1,亮蓝,浅蓝,False,False,右侧评分面板过小，无法精确读取score/health/price等数值，需要更清晰的截图
image-1781165657477.webp,True,MXL,2026-06-04,82,HEALTHY,Hold,0,93.33,亮蓝,亮蓝,False,True,股价在所有均线上方，上升趋势中，5月中旬出现巨量，当前成交正常
image-1781165659693.webp,True,ARM,2026-06-03,68,HEALTHY,Hold,0,375.5,浅紫,浅蓝,False,False,ARM 1D日线，评分68处于中等健康状态，动能偏弱，建议观望
image-1781165662476.webp,True,CLS,2026-06-04,91,HEALTHY,Hold,0,405.53,紫色,亮蓝色,False,False,CLS日线图，Score 91 HEALTHY状态，最右成交额柱紫色，动能柱亮蓝色
image-1781165665237.webp,True,SNDK,,99,HEALTHY,Hold,0,1775.06,浅蓝,浅蓝,False,False,"Kova Score 99 HEALTHY状态;成交额和动能柱均为浅蓝色;右侧价格1,775.06;评分面板显示Hold;未见REDUCE提示;日期信息不清"
image-1781166775978.webp,True,NVTS,2026-06-09,93,HEALTHY,Hold,0,28.46,亮蓝,浅蓝,False,False,强势上升，四线金叉排列，高分健康度，成交量支撑
image-1781166778559.webp,False,,,-1,未知,无,0,-1,,,False,False,非Kova行情图，这是股票列表表格，无法提取K线指标
image-1781167301073.webp,True,DELL,2026-06-12,99,HEALTHY,REDUCE,0,-1,浅蓝,浅蓝,False,True,Score 99 HEALTHY 但有 REDUCE 提示；最右巨量青蓝柱明显高出周围
image-1781167303694.webp,True,DDOG,2026-06-03,58,HEALTHY,REDUCE,0,278.73,浅绿,浅蓝,False,True,"DDOG 1日线,得分58分HEALTHY状态+REDUCE提示。右侧成交额柱明显浅绿色,动能柱浅蓝。成交额区间存在多根明显高于周围数倍的巨量柱(特别是中部和右"
image-1781167306609.webp,True,INTC,2026-06-01,81,HEALTHY,无,0,-1,浅紫,浅蓝,False,False,"INTC 1D, Kova Score 81 HEALTHY, 最右成交额柱浅紫色, 底部动能柱浅蓝色, 无明显巨量放量"
image-1781167309029.webp,True,MU,2026-06-11,98,HEALTHY,REDUCE,0,-1,绿,浅蓝,True,True,"高分+REDUCE双重信号, 顶部放量派发危险; 股价在所有均线上方贴近高点, 动能偏弱(浅蓝)"
image-1781167311765.webp,True,MXL,2024-06-28,82,UNHEALTHY,无,0,91.2,浅紫,浅蓝,True,True,UNHEALTHY红色预警; 高于均线; 5月中旬巨量放量信号
image-1781167315129.webp,True,MRVL,2026-06-04,91,HEALTHY,REDUCE,1,-1,浅蓝,浅蓝,False,True,"MRVL日线趋势健康(Kova评分91分),但右侧现红蓝大量柱是放量派发信号,已触发REDUCE预警"
image-1781167317983.webp,True,NBIS,2026-06-03,91,HEALTHY,Hold,0,-1,浅粉色,浅蓝,False,False,NBIS得分91 HEALTHY，股价在上升通道但无派发信号
image-1781167322953.webp,True,ARM,2026-06-11,99,HEALTHY,REDUCE,0,401.98,亮蓝,深蓝,False,False,REDUCE提示与HEALTHY并存；价格在均线上方，近期有上升趋势
image-1781167325589.webp,False,MU,2026-06-05,-1,未知,无,0,-1,绿色,浅蓝,False,False,非Kova格式图表，缺少评分面板。这是TradingView标准行情图，有4条均线+成交量柱+动能指标，但无Kova Score、Health状态或REDUCE
